Name,Total_Emergency_Admissions,Total_Attendances,Month,Year,File,Date
Sheffield Teaching Hospitals NHS Foundation Trust,5375,17338,4,2017,April-2017-AE-by-provider-revised-14.06.18-D44fd.xls,01/04/2017
Sheffield Teaching Hospitals NHS Foundation Trust,5651,17659,4,2018,April-2018-AE-by-provider-3GI6E.xls,01/04/2018
Sheffield Teaching Hospitals NHS Foundation Trust,3900,8277,4,2020,April-2020-AE-by-provider-revised-260421-M70yN.xls,01/04/2020
Sheffield Teaching Hospitals NHS Foundation Trust,5470,17001,4,2021,April-2021-AE-by-provider-Q773u.xls,01/04/2021
Sheffield Teaching Hospitals NHS Foundation Trust,5495,18284,4,2022,April-2022-AE-revised-130624-by-provider-YVj1E.xls,01/04/2022
Sheffield Teaching Hospitals NHS Foundation Trust,5843,17632,4,2023,April-2023-AE-revised-130624-by-provider-J1F7n.xls,01/04/2023
Sheffield Teaching Hospitals NHS Foundation Trust,5773,17405,8,2017,August-2017-AE-by-provider-revised-14.06.18-D44fd.xls,01/08/2017
Sheffield Teaching Hospitals NHS Foundation Trust,5684,17732,8,2018,August-2018-AE-by-provider-weFve.xls,01/08/2018
Sheffield Teaching Hospitals NHS Foundation Trust,5149,14571,8,2020,August-2020-AE-by-provider-revised-280421-7V9QM.xls,01/08/2020
Sheffield Teaching Hospitals NHS Foundation Trust,5483,18287,8,2021,August-2021-AE-by-provider-Gi5Fh.xls,01/08/2021
Sheffield Teaching Hospitals NHS Foundation Trust,5550,17928,8,2022,August-2022-AE-by-provider-revised-110523-1Gqhs.xls,01/08/2022
Sheffield Teaching Hospitals NHS Foundation Trust,6573,17648,8,2023,August-2023-AE-revised-130624-by-provider-FI80O-1.xls,01/08/2023
Sheffield Teaching Hospitals NHS Foundation Trust,5692,17302,12,2017,December-2017-AE-by-provider-revised-14.06.18-D44fd.xls,01/12/2017
Sheffield Teaching Hospitals NHS Foundation Trust,5466,18595,12,2018,December-2018-AE-by-provider-uViG6.xls,01/12/2018
Sheffield Teaching Hospitals NHS Foundation Trust,4913,12566,12,2020,December-2020-AE-by-provider-revised-270421-eT4OL.xls,01/12/2020
Sheffield Teaching Hospitals NHS Foundation Trust,5326,16599,12,2021,December-2021-AE-by-provider-oNwWs.xls,01/12/2021
Sheffield Teaching Hospitals NHS Foundation Trust,5502,20263,12,2022,December-2022-AE-by-provider-UScya-revised-110523.xls,01/12/2022
Sheffield Teaching Hospitals NHS Foundation Trust,6463,18310,12,2023,December-2023-revised-130624-AE-by-provider-A3NaZ-1.xls,01/12/2023
Sheffield Teaching Hospitals NHS Foundation Trust,5149,15817,2,2017,February-2017-AE-by-provider-q440L.xls,01/02/2017
Sheffield Teaching Hospitals NHS Foundation Trust,5344,16836,2,2018,February-2018-AE-by-provider-revised-14.06.18-D44fd.xls,01/02/2018
Sheffield Teaching Hospitals NHS Foundation Trust,5306,18264,2,2019,February-2019-AE-by-provider-8Q2S1.xls,01/02/2019
Sheffield Teaching Hospitals NHS Foundation Trust,4807,12592,2,2021,February-2021-AE-by-provider-revised-280421-EJ9nR.xls,01/02/2021
Sheffield Teaching Hospitals NHS Foundation Trust,5018,16421,2,2022,February-2022-AE-by-provider-YgdXY.xls,01/02/2022
Sheffield Teaching Hospitals NHS Foundation Trust,5765,17631,2,2023,February-2023-AE-by-provider-Bu31G-revised-110523.xls,01/02/2023
Sheffield Teaching Hospitals NHS Foundation Trust,5727,16981,1,2017,January-2017-AE-by-provider-qD8a6.xls,01/01/2017
Sheffield Teaching Hospitals NHS Foundation Trust,5745,17773,1,2018,January-2018-AE-by-provider-revised-14.06.18-D44fd-1.xls,01/01/2018
Sheffield Teaching Hospitals NHS Foundation Trust,5933,19371,1,2019,January-2019-AE-by-provider-CeyJ9.xls,01/01/2019
Sheffield Teaching Hospitals NHS Foundation Trust,5146,13213,1,2021,January-2021-AE-by-provider-revised-280421-4OYWC.xls,01/01/2021
Sheffield Teaching Hospitals NHS Foundation Trust,5234,16646,1,2022,January-2022-AE-by-provider-Xr900.xls,01/01/2022
Sheffield Teaching Hospitals NHS Foundation Trust,6293,18189,1,2023,January-2023-AE-by-provider-9wvXO-revised-110523.xls,01/01/2023
Sheffield Teaching Hospitals NHS Foundation Trust,5657,17786,7,2017,July-2017-AE-by-provider-revised-14.06.18-D44fd.xls,01/07/2017
Sheffield Teaching Hospitals NHS Foundation Trust,5617,18612,7,2018,July-2018-AE-by-provider-P3XaW.xls,01/07/2018
Sheffield Teaching Hospitals NHS Foundation Trust,5309,13532,7,2020,July-2020-AE-by-provider-YVQFD-revised-270421.xls,01/07/2020
Sheffield Teaching Hospitals NHS Foundation Trust,5661,18882,7,2021,July-2021-AE-by-provider-8F7aS.xls,01/07/2021
Sheffield Teaching Hospitals NHS Foundation Trust,5628,18576,7,2022,July-2022-AE-by-provider-revised-110523-Rr6Df.xls,01/07/2022
Sheffield Teaching Hospitals NHS Foundation Trust,6301,18325,7,2023,July-2023-AE-revised-130624-by-provider-Z9pVf-1.xls,01/07/2023
Sheffield Teaching Hospitals NHS Foundation Trust,5372,17132,6,2017,June-2017-AE-by-provider-revised-14.06.18-D44fd.xls,01/06/2017
Sheffield Teaching Hospitals NHS Foundation Trust,5421,17670,6,2018,June-2018-AE-by-provider-y2UXy.xls,01/06/2018
Sheffield Teaching Hospitals NHS Foundation Trust,4794,11824,6,2020,June-2020-AE-by-provider-revised-260421-9HrqH.xls,01/06/2020
Sheffield Teaching Hospitals NHS Foundation Trust,5607,17982,6,2021,June-2021-AE-by-provider-2Qavs.xls,01/06/2021
Sheffield Teaching Hospitals NHS Foundation Trust,5592,18776,6,2022,June-2022-AE-by-provider-dfTKt-revised-110523.xls,01/06/2022
Sheffield Teaching Hospitals NHS Foundation Trust,6346,18408,6,2023,June-2023-AE-revised-130624-by-provider-5Uq9C-1.xls,01/06/2023
Sheffield Teaching Hospitals NHS Foundation Trust,5707,17605,3,2017,March-2017-AE-by-provider-43JyG.xls,01/03/2017
Sheffield Teaching Hospitals NHS Foundation Trust,5692,18007,3,2018,March-2018-AE-by-provider-revised-14.06.18-D44fd.xls,01/03/2018
Sheffield Teaching Hospitals NHS Foundation Trust,5935,19562,3,2019,March-2019-AE-by-provider-drsf5.xls,01/03/2019
Sheffield Teaching Hospitals NHS Foundation Trust,5598,16067,3,2021,March-2021-AE-by-provider-revised-280421-7m0iV.xls,01/03/2021
Sheffield Teaching Hospitals NHS Foundation Trust,5913,19225,3,2022,March-2022-AE-by-provider-1SaO5.xls,01/03/2022
Sheffield Teaching Hospitals NHS Foundation Trust,6276,18992,3,2023,March-2023-AE-by-provider-D6Ni9-revised-110523.xls,01/03/2023
Sheffield Teaching Hospitals NHS Foundation Trust,5614,17873,5,2017,May-2017-AE-by-provider-revised-14.06.18-D44fd.xls,01/05/2017
Sheffield Teaching Hospitals NHS Foundation Trust,5755,18933,5,2018,May-2018-AE-by-provider-t3WCN-1.xls,01/05/2018
Sheffield Teaching Hospitals NHS Foundation Trust,4497,11155,5,2020,May-2020-AE-by-provider-revised-260421-qlSY5.xls,01/05/2020
Sheffield Teaching Hospitals NHS Foundation Trust,5583,17916,5,2021,May-2021-AE-by-provider-R85f2.xls,01/05/2021
Sheffield Teaching Hospitals NHS Foundation Trust,5813,19484,5,2022,May-2022-AE-by-provider-revised-110523-OZPOx.xls,01/05/2022
Sheffield Teaching Hospitals NHS Foundation Trust,6330,19201,5,2023,May-2023-AE-revised-130624-by-provider-jn7Oy.xls,01/05/2023
Sheffield Teaching Hospitals NHS Foundation Trust,5608,19165,4,2019,Monthly-AE-April-2019-revised-220720-632O5.xls,01/04/2019
Sheffield Teaching Hospitals NHS Foundation Trust,5707,19453,8,2019,Monthly-AE-August-2019-revised-210720-N29U9.xls,01/08/2019
Sheffield Teaching Hospitals NHS Foundation Trust,5842,19661,12,2019,Monthly-AE-December-2019-revised-220720-7h43F.xls,01/12/2019
Sheffield Teaching Hospitals NHS Foundation Trust,5508,18875,2,2020,Monthly-AE-February-2020-revised-280720-TR4gv.xls,01/02/2020
Sheffield Teaching Hospitals NHS Foundation Trust,6170,19736,1,2020,Monthly-AE-January-2020-revised-220720-9EPnl.xls,01/01/2020
Sheffield Teaching Hospitals NHS Foundation Trust,5943,20210,7,2019,Monthly-AE-July-2019-revised-210720-0Xmt8.xls,01/07/2019
Sheffield Teaching Hospitals NHS Foundation Trust,5624,18750,6,2019,Monthly-AE-June-2019-revised-210720-n48F9.xls,01/06/2019
Sheffield Teaching Hospitals NHS Foundation Trust,4726,13540,3,2020,Monthly-AE-March-2020-revised-220720-p4H66-1.xls,01/03/2020
Sheffield Teaching Hospitals NHS Foundation Trust,5775,20254,5,2019,Monthly-AE-May-2019-revised-220720-3o2Nl.xls,01/05/2019
Sheffield Teaching Hospitals NHS Foundation Trust,5857,19842,11,2019,Monthly-AE-November-2019-revised-220720-HbJQ1.xls,01/11/2019
Sheffield Teaching Hospitals NHS Foundation Trust,5814,20186,10,2019,Monthly-AE-October-2019-revised-210720-qm5hG.xls,01/10/2019
Sheffield Teaching Hospitals NHS Foundation Trust,5456,18757,9,2019,Monthly-AE-September-2019-revised-210720-L48uy.xls,01/09/2019
Sheffield Teaching Hospitals NHS Foundation Trust,5544,17259,11,2017,November-2017-AE-by-provider-revised-14.06.18-D44fd.xls,01/11/2017
Sheffield Teaching Hospitals NHS Foundation Trust,5568,17817,11,2018,November-2018-AE-by-provider-50P7F.xls,01/11/2018
Sheffield Teaching Hospitals NHS Foundation Trust,4865,12810,11,2020,November-2020-AE-by-provider-revised-270421-IOUCw.xls,01/11/2020
Sheffield Teaching Hospitals NHS Foundation Trust,5390,18487,11,2021,November-2021-AE-by-provider-TO65c.xls,01/11/2021
Sheffield Teaching Hospitals NHS Foundation Trust,5797,19383,11,2022,November-2022-AE-by-provider-WINN6.xls,01/11/2022
Sheffield Teaching Hospitals NHS Foundation Trust,6448,18425,11,2023,November-2023-AE-revised-130624-by-provider-3SOeF-1.xls,01/11/2023
Sheffield Teaching Hospitals NHS Foundation Trust,5898,18412,10,2017,October-2017-AE-by-provider-revised-14.06.18-D44fd.xls,01/10/2017
Sheffield Teaching Hospitals NHS Foundation Trust,5630,18933,10,2018,October-2018-AE-by-provider-Dy0ma.xls,01/10/2018
Sheffield Teaching Hospitals NHS Foundation Trust,5250,13888,10,2020,October-2020-AE-by-provider-revised-270421-9U2tp.xls,01/10/2020
Sheffield Teaching Hospitals NHS Foundation Trust,5600,19519,10,2021,October-2021-AE-by-provider-0gyL5.xls,01/10/2021
Sheffield Teaching Hospitals NHS Foundation Trust,5672,19922,10,2022,October-2022-AE-by-provider-vM3Lk-revised-110523.xls,01/10/2022
Sheffield Teaching Hospitals NHS Foundation Trust,6508,19078,10,2023,October-2023-AE-revised-130624-by-provider-x6p9K-1.xls,01/10/2023
Sheffield Teaching Hospitals NHS Foundation Trust,5476,17196,9,2017,September-2017-AE-by-provider-revised-14.06.18-D44fd.xls,01/09/2017
Sheffield Teaching Hospitals NHS Foundation Trust,5479,17864,9,2018,September-2018-AE-by-provider-F5D4D.xls,01/09/2018
Sheffield Teaching Hospitals NHS Foundation Trust,5108,14044,9,2020,September-2020-AE-by-provider-revised-280421-6f9Yl.xls,01/09/2020
Sheffield Teaching Hospitals NHS Foundation Trust,5647,18584,9,2021,September-2021-AE-by-provider-jDbjZ.xls,01/09/2021
Sheffield Teaching Hospitals NHS Foundation Trust,5647,17633,9,2022,September-2022-AE-by-provider-lT54V-revised-110523.xls,01/09/2022
Sheffield Teaching Hospitals NHS Foundation Trust,6226,17856,9,2023,September-2023-AE-revised-130624-by-provider-0W4r0-1.xls,01/09/2023